item,itemLabel
http://www.wikidata.org/entity/Q268867,Shiren the Wanderer
http://www.wikidata.org/entity/Q269487,Catacomb 3-D
http://www.wikidata.org/entity/Q270477,Luxor
http://www.wikidata.org/entity/Q271062,Age of Mythology
http://www.wikidata.org/entity/Q274897,Portal
http://www.wikidata.org/entity/Q275122,Super Ghouls 'n Ghosts
http://www.wikidata.org/entity/Q275950,Resident Evil 4
http://www.wikidata.org/entity/Q275960,Mass Effect
http://www.wikidata.org/entity/Q276217,Halo: Combat Evolved
http://www.wikidata.org/entity/Q276591,Ruff 'n' Tumble
http://www.wikidata.org/entity/Q276744,Tears to Tiara
http://www.wikidata.org/entity/Q277377,Catherine
http://www.wikidata.org/entity/Q277404,9Dragons
http://www.wikidata.org/entity/Q278227,Amazing Tater
http://www.wikidata.org/entity/Q278270,Keyboardmania
http://www.wikidata.org/entity/Q278564,Colin McRae Rally 3
http://www.wikidata.org/entity/Q278608,Bloodstone: An Epic Dwarven Tale
http://www.wikidata.org/entity/Q278771,Worms
http://www.wikidata.org/entity/Q279446,Portal 2
http://www.wikidata.org/entity/Q279744,Half-Life
http://www.wikidata.org/entity/Q279938,Dizzy Prince of the Yolkfolk
http://www.wikidata.org/entity/Q280104,Hamlet
http://www.wikidata.org/entity/Q281110,Kingdom Hearts: Birth by Sleep
http://www.wikidata.org/entity/Q281246,Need for Speed: The Run
http://www.wikidata.org/entity/Q281392,Killzone: Liberation
http://www.wikidata.org/entity/Q281924,Battletank
http://www.wikidata.org/entity/Q282008,TimeSplitters 2
http://www.wikidata.org/entity/Q282450,Maken X
http://www.wikidata.org/entity/Q282548,LittleBigPlanet
http://www.wikidata.org/entity/Q282623,Legacy of Kain: Soul Reaver
http://www.wikidata.org/entity/Q282941,Fade to Black
http://www.wikidata.org/entity/Q282945,Sonic R
http://www.wikidata.org/entity/Q283211,Screamer 4x4
http://www.wikidata.org/entity/Q283761,Knuckle Heads
http://www.wikidata.org/entity/Q283878,Halo: Reach
http://www.wikidata.org/entity/Q284064,Stunt Race FX
http://www.wikidata.org/entity/Q284203,Hexen II
http://www.wikidata.org/entity/Q284928,flOw
http://www.wikidata.org/entity/Q285065,Growl
http://www.wikidata.org/entity/Q285150,eJay
http://www.wikidata.org/entity/Q285208,Syphon Filter: The Omega Strain
http://www.wikidata.org/entity/Q285402,Panic Restaurant
http://www.wikidata.org/entity/Q285449,Ef: A Fairy Tale of the Two
http://www.wikidata.org/entity/Q285827,4x4 EVO 2
http://www.wikidata.org/entity/Q286051,True Tears
http://www.wikidata.org/entity/Q286165,Dracula Unleashed
http://www.wikidata.org/entity/Q286205,Wipeout
http://www.wikidata.org/entity/Q286305,NBA Elite 11
http://www.wikidata.org/entity/Q286737,The Path
http://www.wikidata.org/entity/Q287276,Destroy All Humans! 2
http://www.wikidata.org/entity/Q287330,Gemini Rue
http://www.wikidata.org/entity/Q287409,De Blob
http://www.wikidata.org/entity/Q287600,Eye of the Beholder II: The Legend of Darkmoon
http://www.wikidata.org/entity/Q287637,The Witcher
http://www.wikidata.org/entity/Q287985,dnd
http://www.wikidata.org/entity/Q288296,Spider-Man
http://www.wikidata.org/entity/Q288346,One Piece: Birth of Luffy's Dream Pirate Crew!
http://www.wikidata.org/entity/Q288596,Silent Hill: Downpour
http://www.wikidata.org/entity/Q288754,Dragon Buster
http://www.wikidata.org/entity/Q288811,Batman: Arkham City
